UF,Sexo,Idade,Cor,Anos de Estudo,Renda
Rondônia,Feminino,36,Parda,12,788
Rondônia,Feminino,36,Branca,12,2000
Rondônia,Feminino,25,Parda,16,3000
Rondônia,Masculino,57,Branca,7,1024
Rondônia,Masculino,45,Parda,5,1180
Rondônia,Feminino,25,Parda,10,1024
Rondônia,Feminino,56,Parda,9,1500
Rondônia,Masculino,51,Parda,5,1500
Rondônia,Masculino,52,Branca,6,2000
Rondônia,Feminino,36,Parda,12,4000
Rondônia,Masculino,47,Preta,5,1200
Rondônia,Masculino,41,Branca,4,1200
Rondônia,Masculino,36,Parda,10,876
Rondônia,Masculino,65,Branca,1,1200
Rondônia,Feminino,28,Parda,7,788
Rondônia,Feminino,35,Parda,6,1050
Rondônia,Masculino,44,Preta,1,1300
Rondônia,Feminino,28,Preta,16,1300
Rondônia,Masculino,55,Branca,5,1300
Rondônia,Masculino,30,Branca,11,1100
Rondônia,Masculino,52,Parda,5,2000
Rondônia,Feminino,35,Parda,12,924
Rondônia,Feminino,33,Branca,14,1300
Rondônia,Feminino,53,Parda,5,950
Rondônia,Masculino,45,Parda,2,1300
Rondônia,Masculino,28,Parda,16,1100
Rondônia,Masculino,52,Preta,1,1500
Rondônia,Masculino,57,Parda,7,500
Rondônia,Masculino,64,Parda,12,3500
Rondônia,Masculino,18,Branca,6,850
Rondônia,Feminino,29,Parda,10,150
Rondônia,Masculino,30,Preta,12,2300
Rondônia,Masculino,53,Branca,2,950
Rondônia,Feminino,40,Branca,5,0
Rondônia,Masculino,66,Branca,3,0
Rondônia,Masculino,79,Branca,1,0
Rondônia,Masculino,61,Parda,4,0
Rondônia,Masculino,30,Branca,6,1000
Rondônia,Feminino,57,Branca,5,0
Rondônia,Masculino,59,Branca,9,2200
Rondônia,Masculino,57,Branca,9,788
Rondônia,Feminino,54,Branca,5,0
Rondônia,Masculino,40,Parda,4,2000
Rondônia,Feminino,35,Parda,16,2800
Rondônia,Feminino,53,Parda,9,800
Rondônia,Feminino,27,Parda,12,1500
Rondônia,Feminino,39,Parda,5,900
Rondônia,Feminino,43,Parda,5,500
Rondônia,Masculino,49,Branca,9,2100
Rondônia,Feminino,48,Parda,5,600
Rondônia,Feminino,41,Parda,8,1100
Rondônia,Masculino,45,Parda,5,2000
Rondônia,Masculino,18,Parda,6,1300
Rondônia,Feminino,44,Parda,9,788
Rondônia,Masculino,45,Parda,4,1800
Rondônia,Masculino,76,Parda,1,700
